timestamp,temp,rhum,prcp,wspd,pres,wdir,season
1618981200.0,6.4,,0.0,7.4,1019.2,35.0,spring
1664172000.0,11.9,,,,,,autumn
1666717200.0,14.2,,0.0,11.1,1010.4,141.0,autumn
1674010800.0,-2.9,,0.0,11.1,994.5,256.0,winter
1648227600.0,14.2,,0.0,,,,spring
1674820800.0,5.0,,0.0,16.7,1030.7,18.0,winter
1636567200.0,11.6,,0.0,7.4,1023.2,214.0,autumn
1691906400.0,15.7,,0.0,14.8,1014.3,220.0,summer
1662202800.0,21.5,,0.0,14.8,1008.9,197.0,summer
1688497200.0,13.6,,1.4,9.3,1007.1,267.0,summer
1675029600.0,6.0,,0.0,16.7,1022.5,250.0,winter
1654225200.0,11.0,,0.0,5.4,1018.0,20.0,spring
1694822400.0,14.3,,0.0,5.5,1012.7,59.0,summer
1639386000.0,9.9,,,,,,autumn
1663182000.0,15.6,,,11.1,1008.3,335.0,summer
1678147200.0,4.3,,,13.0,1001.2,250.0,winter
1663027200.0,17.5,,0.8,7.4,1011.3,350.0,summer
1693206000.0,13.3,,0.0,,,,summer
1655082000.0,14.0,,0.0,16.6,1024.0,280.0,spring
1625043600.0,14.1,,0.2,14.8,1017.1,339.0,summer
1683291600.0,15.9,,0.2,16.7,1014.3,221.0,spring
1667703600.0,12.5,,0.7,,,,autumn
1637031600.0,5.4,,0.0,5.5,1025.8,299.0,autumn
1640293200.0,8.2,,,14.8,1007.2,244.0,winter
1618542000.0,0.3,,,7.4,1032.0,30.0,spring
1654682400.0,19.0,,0.1,24.1,1004.0,250.0,spring
1659438000.0,24.6,,,25.9,1015.0,243.0,summer
1636884000.0,9.6,,0.0,14.8,1023.9,6.0,autumn
1646737200.0,6.1,,0.0,20.4,1014.4,132.0,winter
1625324400.0,19.8,,,16.7,1010.9,209.0,summer
1631692800.0,15.5,,0.0,13.0,1014.1,340.0,summer
1686585600.0,24.3,,0.4,11.1,1014.3,115.0,spring
1690826400.0,17.6,,0.0,18.5,1001.9,258.0,summer
1640512800.0,7.3,,0.1,,,,winter
1679810400.0,6.5,,,7.4,1000.7,43.0,spring
1670612400.0,-1.8,,0.0,5.5,1009.0,297.0,autumn
1648548000.0,9.9,,0.0,14.8,1012.6,64.0,spring
1621155600.0,12.6,,1.9,14.8,998.9,217.0,spring
1657551600.0,29.8,,0.0,13.0,1022.3,188.0,summer
1625126400.0,16.0,,0.0,11.1,1018.2,346.0,summer
1655589600.0,12.8,,0.5,22.2,1015.8,7.0,spring
1672804800.0,11.5,,0.2,29.6,1013.1,234.0,winter
1626109200.0,17.6,,0.3,9.3,1010.8,21.0,summer
1617602400.0,5.0,,0.0,24.1,1016.0,325.0,spring
1667217600.0,15.3,,,16.7,1012.8,142.0,autumn
1664128800.0,12.0,,0.0,9.3,1015.0,257.0,autumn
1661655600.0,12.4,,0.0,9.3,1021.6,35.0,summer
1668106800.0,12.9,,0.0,,,,autumn
1619226000.0,4.5,,0.0,11.1,1028.3,79.0,spring
1670209200.0,3.6,,,14.8,1020.5,25.0,autumn
1674662400.0,3.4,,0.0,9.3,1030.0,236.0,winter
1676880000.0,7.8,,0.0,20.4,1025.0,250.0,winter
1625137200.0,18.3,,0.0,11.1,1018.0,324.0,summer
1680922800.0,3.2,,0.0,3.7,1024.8,133.0,spring
1683594000.0,12.0,,0.0,11.1,1012.8,206.0,spring
1676890800.0,10.1,,,24.1,1024.9,261.0,winter
1686423600.0,21.6,,0.0,13.0,1014.0,84.0,spring
1669798800.0,5.5,,,,,,autumn
1645016400.0,14.5,,,40.8,996.7,251.0,winter
1650873600.0,9.6,,0.0,16.7,1015.4,21.0,spring
1672333200.0,6.7,,0.0,22.2,1004.8,243.0,winter
1650128400.0,14.6,,0.0,14.8,1029.4,110.0,spring
1645696800.0,5.7,,0.2,27.8,1008.3,278.0,winter
1640124000.0,1.0,,0.0,5.5,1024.8,108.0,winter
1657605600.0,21.0,,0.0,9.3,1023.0,175.0,summer
1682341200.0,10.2,,0.0,9.3,1010.8,319.0,spring
1684868400.0,13.2,,0.0,,,,spring
1684994400.0,12.0,,0.0,9.3,1029.4,29.0,spring
1692666000.0,13.9,,0.0,11.1,1021.0,223.0,summer
1685739600.0,10.4,,0.0,14.8,1024.5,38.0,spring
1689314400.0,15.5,,0.0,11.1,1013.0,167.0,summer
1693202400.0,11.7,,0.0,9.3,1014.6,316.0,summer
1641106800.0,11.1,,,20.4,1009.2,224.0,winter
1656208800.0,10.8,,0.0,,,,summer
1652133600.0,14.6,,0.0,14.8,1017.9,195.0,spring
1631458800.0,19.2,,0.0,9.3,1018.4,43.0,summer
1643385600.0,7.1,,0.0,14.8,1033.7,231.0,winter
1646866800.0,8.1,,,14.8,1017.0,148.0,winter
1649502000.0,9.0,,0.1,18.5,1015.8,303.0,spring
1675011600.0,6.9,,,18.5,1023.1,245.0,winter
1637953200.0,3.4,,0.0,22.2,989.4,300.0,autumn
1625155200.0,18.7,,0.0,11.1,1017.6,321.0,summer
1623816000.0,13.9,,0.0,5.5,1014.4,130.0,spring
1668870000.0,8.2,,,9.3,1012.9,332.0,autumn
1679173200.0,8.3,,0.0,9.3,1008.9,240.0,winter
1644354000.0,8.7,,0.0,16.7,1026.1,230.0,winter
1676570400.0,10.6,,0.0,18.5,1019.1,246.0,winter
1670583600.0,0.1,,0.0,9.3,1008.8,324.0,autumn
1654632000.0,17.0,,,22.3,1009.0,220.0,spring
1681135200.0,13.9,,0.2,,,,spring
1653573600.0,19.0,,0.0,27.8,1021.4,263.0,spring
1655863200.0,10.9,,0.0,7.4,1014.0,65.0,summer
1692126000.0,17.9,,,9.3,1018.4,214.0,summer
1632016800.0,14.2,,,5.5,1012.9,99.0,summer
1619240400.0,5.3,,0.0,11.1,1028.1,71.0,spring
1660392000.0,32.2,,,14.8,1013.8,129.0,summer
1665759600.0,13.2,,0.0,9.3,1007.8,227.0,autumn
1621281600.0,9.6,,0.0,9.3,1009.7,270.0,spring
1676282400.0,6.1,,0.0,7.4,1035.2,119.0,winter
1641535200.0,2.2,,0.0,18.5,1010.1,247.0,winter
1647925200.0,7.3,,,7.4,1028.5,96.0,spring
1681196400.0,7.8,,,22.2,1013.4,248.0,spring
1621717200.0,8.0,,0.0,9.3,1008.8,262.0,spring
1617894000.0,9.6,,,22.2,1019.3,239.0,spring
1686229200.0,20.1,,0.0,18.5,1017.4,68.0,spring
1696276800.0,18.7,,0.0,,,,autumn
1619877600.0,10.8,,1.2,,,,spring
1632150000.0,18.0,,0.1,14.8,1023.6,347.0,summer
1679475600.0,10.8,,0.0,24.1,1000.4,223.0,spring
1669060800.0,6.2,,0.0,24.1,985.8,240.0,autumn
1670133600.0,2.6,,0.2,13.0,1016.5,40.0,autumn
1670569200.0,-3.1,,0.0,7.4,1008.7,323.0,autumn
1637866800.0,1.9,,0.0,11.1,1016.8,322.0,autumn
1638734400.0,4.1,,0.0,20.4,1013.1,333.0,autumn
1678258800.0,0.4,,0.9,18.5,991.3,67.0,winter
1663272000.0,12.6,,0.0,9.3,1015.0,334.0,summer
1666864800.0,17.2,,0.0,16.7,1013.9,186.0,autumn
1656169200.0,17.3,,,20.4,1008.1,187.0,summer
1656072000.0,21.1,,0.2,,,,summer
1630987200.0,16.5,,0.0,5.5,1022.6,119.0,summer
1626278400.0,22.1,,0.0,20.4,1018.1,337.0,summer
1634216400.0,15.5,,0.0,20.4,1022.5,254.0,autumn
1665151200.0,17.2,,0.0,,,,autumn
1654560000.0,14.0,,0.0,11.2,1013.0,250.0,spring
1642914000.0,1.4,,0.0,5.5,1036.0,241.0,winter
1679209200.0,5.4,,,14.8,1014.2,305.0,winter
1687611600.0,25.6,,,14.8,1022.4,239.0,summer
1643695200.0,7.1,,0.0,22.2,1022.0,270.0,winter
1678172400.0,1.8,,0.1,9.3,999.3,322.0,winter
1625464800.0,14.5,,0.0,14.8,1006.3,230.0,summer
1690682400.0,12.4,,0.0,16.7,1009.6,239.0,summer
1651766400.0,17.3,,,13.0,1024.3,331.0,spring
1619312400.0,3.7,,,,,,spring
1641078000.0,11.7,,0.0,,,,winter
1685289600.0,18.5,,0.0,20.4,1023.0,58.0,spring
1651798800.0,9.5,,0.0,7.4,1025.9,234.0,spring
1686009600.0,9.7,,0.0,14.8,1024.3,33.0,spring
1672020000.0,8.3,,0.0,20.4,1007.0,217.0,winter
1691748000.0,22.4,,0.0,20.4,1017.9,235.0,summer
1618146000.0,7.5,,0.0,16.7,1020.3,338.0,spring
1677369600.0,1.5,,0.0,,,,winter
1672768800.0,10.2,,0.0,27.8,1015.0,206.0,winter
1652518800.0,16.0,,0.0,9.3,1021.8,225.0,spring
1622761200.0,13.5,,,,,,spring
1648324800.0,10.3,,0.0,13.0,1033.1,62.0,spring
1654970400.0,20.0,,0.0,20.5,1022.0,240.0,spring
1627531200.0,11.3,,0.0,,,,summer
